,doc_id,base_E_pred,base_E_resp,description,country,queries,carb,fat,energy,protein,base_E_mae,base_pred,base_resp,base_mae
515,515,140.5,"['{""total_carbohydrates"": 140.5}']","['Beef\t medium fat\t w/o bones\t raw\t corrected for stewing', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Pumpkin\t leaves (seveve)\t raw\t corrected for boling', 'Rice\t white\t milled\t polished grain\t dry\t raw corrected for stewing', 'Salt\t Iodized', 'Tomato\t red\t ripe\t raw\t corrected for stewing', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For lunch, I’m having 56.4 grams of raw medium fat beef, 47 grams of chopped fresh red onion, and 73.3 grams of raw pumpkin leaves. I also cooked 43.5 grams of dry white rice with 0.9 grams of iodized salt, and added 68.7 grams of ripe raw tomato. I used 21.0 grams of vegetable oil and served it with 600 grams of whole maize flour ugali.",100.0,31.9,845.0,27.0,40.5,452.5,"['{{""total_carbohydrates"": 452.5}}']",352.5
522,522,92.8,"['{""total_carbohydrates"": 92.8}']","['Maize flour, PROCESS=Boiling', 'Sucrose (common sugar),  PROCESS=Boiling']",BFA,"For my snack, I used 420 grams of boiled maize flour along with 16 grams of common sugar.",94.5,3.4,419.0,11.8,1.700000000000002,345.2,"['{{""total_carbohydrates"": 345.2}}']",250.7
259,259,18.0,"['{""total_carbohydrates"": 18}']",['Oatmeal beverage with water'],USA,I’ve got a drink made from 248 grams of oatmeal and water for breakfast.,26.31,0.37,106.64,0.62,8.309999999999999,168.2,"['{{""total_carbohydrates"": 168.2}}']",141.89
517,517,150.0,"['{""total_carbohydrates"": 150}']","['Egg\t chicken\t whole\t raw corrected for omelette', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Salt\t Iodized', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For dinner, I’m having 54.1g of raw chicken egg, 17.5g of fresh red onion, 18.8g of iodized salt, 17.5g of vegetable oil, cooked in some vegetable oil, along with 200g of whole maize flour ugali.",30.3,40.0,494.0,4.6,119.7,145.5,"['{{""total_carbohydrates"": 145.5}}']",115.2
477,477,366.5,"['{""total_carbohydrates"": 366.5}']","['Baking yeast', 'Cassava roots, PROCESS = Boiling', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Fermented tea infusion, INGREDIENT = Tap water, QUALITATIVE-INFO = Black', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature', 'Wheat flour white, PROCESS = Boiling', 'White sugar']",COD,"For breakfast, I'm having 178 grams of boiled cassava roots, 5.2 grams of dried starchy roots and tuber products, 71.8 grams of roasted pumpkin seeds, 0.5 grams of baking yeast, 7.7 grams of fermented tea infusion with tap water, 26.5 grams of red palm oil, 3.0 grams of salt, 45.9 grams of smoked fish, 27.2 grams of ripe red tomatoes, 13.9 grams of white wheat flour, and 124.7 grams of white sugar.",238.2,46.6,1468.0,24.300000000000004,128.3,128.9,"['{{""total_carbohydrates"": 128.9}}']",109.29999999999998
476,476,92.5,"['{""total_carbohydrates"": 92.5}']","['Boiled eggs, SOURCE-COMMODITIES = Hen eggs', 'Chicken fresh meat, PROCESS = Boiling, QUALITATIVE-INFO = Dark, QUALITATIVE-INFO = Without added salt, PART-CONSUMED-ANALYSED = With skin', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Garlic, PROCESS = Frying', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PHYSICAL-STATE = Paste', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",COD,"For lunch, I had 33.1g of boiled eggs, 20.3g of boiled chicken with skin, and some fried chili peppers (0.4g). I also included 1.6g of steamed chives and 1.0g of fried garlic. To add a little more flavor, I tossed in some peanut paste (4.0g), a dollop of palm oil (3.4g), and a generous bowl of porridge (160.0g). I also snuck in 210.7g of roasted pumpkin seeds and a sprinkle of salt (1.6g). For an extra kick, I added some smoked fish (27.6g), a bit of beef stock (0.9g), and some tomato paste (1.2g) along with fried tomatoes (0.4g).",160.49999999999997,58.89999999999999,1361.0,57.50000000000001,67.99999999999997,54.8,"['{{""total_carbohydrates"": 54.8}}']",105.69999999999997
423,423,35.0,"['{""total_carbohydrates"": 35}']","['Porridge, water-based, wheat flour ']",STP,Dinner is 171 grams of porridge that's made with wheat flour and water.,27.36,5.64,166.0,1.88,7.640000000000001,130.5,"['{{""total_carbohydrates"": 130.5}}']",103.14
520,520,366.0,"['{""total_carbohydrates"": 366}']","['Baobab leaves, PROCESS = Boiling, QUALITATIVE-INFO = Fresh', 'Chicory coffee ingredient', 'Cow, ox or bull fresh meat,  PROCESS=Boiling', 'Dried fish,  STATE=Fine powder,  PROCESS=Boiling', 'Onions, PROCESS=Boiling', 'Paprika powder', 'Rice grain,  PROCESS=Boiling', 'Salt,  PROCESS=Boiling', 'Salt, INGREDIENT = Potassium, PHYSICAL-STATE = Liquid', 'Shea butter,  PROCESS=Boiling', 'Sorghum flour, PROCESS = Drying (dehydration), PROCESS = Boiling, QUALITATIVE-INFO = White, PART-CONSUMED-ANALYSED = With husks', 'Stock cubes or granulate (bouillon base)']",BFA,"For lunch, I made a dish with 8g of fresh boiled baobad leaves, 1g of chicory coffee ingredient, 20g of boiled beef, 11g of fine powdered dried fish, 28g of boiled onions, 0g of paprika powder, 1007g of boiled rice, 5g of salt, 7g of liquid potassium salt, 24g of shea butter, 105g of boiled dried sorghum flour, and 7g fo stock cubes for added flavor.",371.3,36.2,1999.0,73.10000000000001,5.300000000000011,285.5,"['{{""total_carbohydrates"": 285.5}}']",85.80000000000001
471,471,198.5,"['{""total_carbohydrates"": 198.5}']","['Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Sweet potato leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",COD,"For lunch, I'm having 2.2g of fried chili peppers, 17.4g of steamed chives, and 181.6g of boiled cassava root powder. I added 71.1g of red palm oil, 8.3g of salt, and 29.2g of smoked fish. I also included 1.9g of a beef stock cube, 309.1g of boiled sweet potato leaves, and 23.2g of boiled ripe tomatoes.",77.0,76.99999999999999,1100.0,21.6,121.5,158.5,"['{{""total_carbohydrates"": 158.5}}']",81.5
417,417,66.5,"['{""total_carbohydrates"": 66.5}']","['BEVERAGE, HORCHATA (RICE BASED) W/ CALABASH TREE FRUIT', 'BREAD WHEAT, SWEET', 'OATS W/MILK & SUGAR']",GTM,"This morning, I ate 250g of horchata, 250g of oats with milk and sugar, and a small 24g sweet wheat bread.",67.58,5.3,351.0,8.96,1.079999999999998,145.5,"['{{""total_carbohydrates"": 145.5}}']",77.92
