description,carb,fat,energy,protein,country,amount_type,queries
"['Cheese, American', 'Potato, baked, peel eaten, with meat', 'Water, bottled, unsweetened']","[1.86, 53.61]","[4.84, 26.3]","[64.47, 500.85]","[3.38, 14.77]",USA,metric,"I'm eating a baked potato that weighs 315 grams and topping it with 21 grams of American cheese for lunch, and 507 grams of bottled water."
"['Frankfurter or hot dog sandwich, NFS, plain, on white bun', 'Water, bottled, unsweetened']",[24.29],[18.56],[314.16],[11.41],USA,natural,"My lunch today was a frankfurter served on a plain white bun, and 507 grams of bottled water."
"['BEEF, FRYING', 'CAJUINA, NOT DETERMINED', 'CHICKEN EGG, FRYING', 'RICE COUSCOUS, NOT DETERMINED', 'Water, bottled, unsweetened']","[0.0, 18.56, 0.6, 34.11]","[13.19, 0.06, 9.26, 0.92]","[237, 74, 116, 151]","[29.59, 0.14, 7.77, 2.92]",BRA,metric,"For breakfast, I had a mix of 90g of fried beef, 200g of cajuina, a 50g fried chicken egg, and 135g of rice couscous, and 507 grams of bottled water."
"['Orange juice, 100%, canned, bottled or in a carton', 'Potato, hash brown, from fast food', 'Egg, cheese, and ham on English muffin', 'Water, bottled, unsweetened']","[57.24, 15.88, 27.3]","[0.6, 9.37, 12.17]","[243.04, 149.6, 287.28]","[3.37, 1.42, 17.19]",USA,metric,"This morning, I had 496 grams of orange juice, along with a hash brown that weighs 55 grams and a 126-gram English muffin sandwich with egg, cheese, and ham, and 507 grams of bottled water."
"['Potato chips, sour cream and onion flavored', 'Water, bottled, unsweetened']",[15.66],[8.7],[136.36],[1.82],USA,metric,"I’m eating 28 grams of sour cream and onion potato chips for lunch, and 507 grams of bottled water."
"['Pretzels, hard, plain, unsalted', 'Orange, raw', 'Water, bottled, unsweetened']","[31.68, 18.1]","[1.4, 0.18]","[152.4, 72.38]","[3.64, 1.45]",USA,metric,"For my snack, I have 40 grams of plain hard pretzels and a 154-gram orange, and 507 grams of bottled water."
"['Bread, white flour, commercial', 'Malt beverage, non-alcoholic', 'Peanut, butter, unknown type', 'Water, bottled, unsweetened']","[26.16, 29.16, 7.54]","[1.86, 0.43, 20.75]","[144, 131, 257]","[4.96, 0.76, 8.97]",KNA,metric,"For dinner, I'm having 56 grams of white flour bread with 40.4 grams of peanut butter and 360 grams of a non-alcoholic malt beverage, and 507 grams of bottled water."
"['Doughnut, cake type, plain', 'Water, bottled, unsweetened']",[28.24],[14.96],[260.4],[3.19],USA,natural,"For breakfast, I’m having a plain cake doughnut, and 507 grams of bottled water."
"['Milk, NFS', 'Burrito with meat and beans', 'Water, bottled, unsweetened']","[11.88, 46.84]","[4.86, 32.14]","[124.44, 600.48]","[8.15, 30.75]",USA,natural,"For lunch, I'm having a medium burrito filled with meat and beans, along with a cup of milk, and 507 grams of bottled water."
"['Muffin, chocolate', 'Apple juice, 100%', 'Water, bottled, unsweetened']","[65.82, 14.01]","[24.05, 0.16]","[508.3, 57.04]","[8.31, 0.12]",USA,metric,"For breakfast, I'm having a 130g chocolate muffin and 124g of 100% apple juice, and 507 grams of bottled water."
"['Peanuts, PROCESS = Raw, no heat treatment', 'Water, bottled, unsweetened']",[17.4],[48.9],[612],[27.9],COD,metric,"I'm enjoying a snack of 108 grams of raw peanuts, and 507 grams of bottled water."
"['Snack mix, plain (Chex Mix)', 'Cookie, NFS', 'Pear, raw', 'Water, bottled, unsweetened']","[45.41, 13.07, 27.41]","[6, 4.94, 0.25]","[256.8, 98.4, 102.6]","[5.3, 1.02, 0.65]",USA,metric,"I’ve got a snack of 60 grams of Chex Mix, a cookie that’s about 20 grams, and a raw pear weighing 180 grams, and 507 grams of bottled water."
"['Frozen yogurt cone, vanilla', 'Water, bottled, unsweetened']",[29.88],[4.66],[173.75],[4],USA,metric,"I have a 125-gram vanilla frozen yogurt cone for my dinner, and 507 grams of bottled water."
"['Chicken or turkey with mushroom sauce', 'Broccoli, fresh, cooked with oil', 'Water, bottled, unsweetened']","[2.37, 10.72]","[7.34, 5.44]","[174.15, 97.6]","[24.88, 4.54]",USA,metric,"Tonight's dinner includes 129 grams of chicken or turkey in mushroom sauce alongside 160 grams of cooked broccoli with a bit of oil, and 507 grams of bottled water."
"['Chocolate milk, made from syrup with reduced fat milk', 'Water, bottled, unsweetened']",[32.76],[4.09],[195.92],[7.19],USA,natural,"I made myself a cup of chocolate milk with reduced fat milk and syrup for a quick snack, and 507 grams of bottled water."
"['Kit Kat', 'Cheese flavored corn snacks (Cheetos)', 'Water, bottled, unsweetened']","[9.69, 30.51]","[3.9, 20.53]","[77.7, 319.2]","[0.98, 3.33]",USA,natural,"I’ve got a fun-sized Kit Kat along with a medium serving bag of Cheetos for my snack, and 507 grams of bottled water."
"['BREAD W/CREAM', 'CHAMONILE TEA W/SUGAR', 'SNACKS, TORTILLA CHIPS (NACHOS), CHEESE FLAVOUR, COMMERCIAL', 'Water, bottled, unsweetened']","[27.17, 17.52, 24.34]","[2.6999999999999997, 0.0, 16.09]","[154, 68, 251]","[4.75, 0.0, 2.59]",CRI,metric,"I'm snacking on 66 grams of bread topped with cream, along with 19 grams of chamomile tea with sugar and some cheese-flavored tortilla chips weighing 45 grams, and 507 grams of bottled water."
"['Lemon, with peel, fresh', 'Sugar', 'Tea, brewed, prepared with tap water, tannin free, without sugar', 'Water, bottled, unsweetened']","[0.14, 8.36, 0.0]","[0.0, 0.0, 0.0]","[1, 31, 0]","[0.04, 0.0, 0.15]",ITA,metric,"For lunch, I have a brewed tea of 150 grams with 6 grams of lemon and 8 grams of sugar, and 507 grams of bottled water."
"['Potato chips, barbecue flavored', 'Tea, iced, bottled, black', 'Water, bottled, unsweetened']","[15.66, 53.57]","[8.7, 1.09]","[136.36, 223.2]","[1.82, 0.0]",USA,natural,"For a snack, I'm having a small bag of barbecue-flavored potato chips and a 16 fl oz bottle of iced black tea, and 507 grams of bottled water."
"['Beer, low carb', 'Water, bottled, unsweetened']",[3.5],[0.0],[129.6],[0.82],USA,natural,"I’m drinking a can of low carb beer as a quick snack, and 507 grams of bottled water."
"['Chocolate milk, NFS', 'Water, bottled, unsweetened']",[33.38],[0.0],[166.16],[8.41],USA,natural,"I decided to have a cup of NFS chocolate milk for my snack, and 507 grams of bottled water."
"['Cereal or granola bar, with rice cereal', 'Crackers, cheese, reduced fat', 'Water, bottled, unsweetened']","[22.54, 30.69]","[2.52, 5.25]","[116.76, 188.1]","[0.95, 4.5]",USA,metric,"I’ve got a rice cereal granola bar weighing 28 grams and 45 grams of reduced-fat cheese crackers for lunch, and 507 grams of bottled water."
"['Pan Dulce, no topping', 'Coffee creamer, liquid, flavored', 'Coffee, instant, reconstituted', 'Water, bottled, unsweetened']","[31.57, 5.26, 1.51]","[6.48, 2.02, 0.0]","[205.52, 37.65, 7.2]","[5.28, 0.1, 0.24]",USA,natural,"For breakfast, I have a small Pan Dulce, a cup of instant coffee, and an individual container of flavored creamer, and 507 grams of bottled water."
"['Coffee, macchiato, sweetened', 'Water, bottled, unsweetened']",[4.28],[0.47],[23.56],[0.7],USA,metric,"Just having a sweetened macchiato coffee, about 62 grams, for my snack, and 507 grams of bottled water."
"['BLACK COOKED BEANS W/HEAVY CREAM', 'FRIED TORTILLA (TOSTADA) W/CHICKEN PASTE & KETCHUP', 'Water, bottled, unsweetened']","[32.23, 46.57]","[6.8, 14.51]","[234, 240]","[12.209999999999999, 9.629999999999999]",GTM,metric,"For my lunch, I’ve got 150.4 grams of black cooked beans with heavy cream and a 160g fried tortilla with chicken paste and ketchup, and 507 grams of bottled water."
"['Milk With Full Cream Pasteurized', 'Sponge Cake With Cream Topping', 'Water, bottled, unsweetened']","[13.6, 23.23]","[6.52, 1.05]","[140, 110]","[6.71, 2.06]",MYS,metric,"I enjoyed a snack of 200 grams of full cream milk along with 40 grams of sponge cake with cream on top, and 507 grams of bottled water."
"['RICE (POLISHED, PARBOILED, NEEDLE, NEEDLED, ETC.), NOT DETERMINED', 'STRING BEANS, NOT DETERMINED', 'SUN-DRIED MEAT, FRYING', 'TAPIOCA FLOUR, NOT DETERMINED', 'Water, bottled, unsweetened']","[39.33, 72.52, 0.0, 28.01]","[2.15, 10.19, 31.55, 0.13]","[186, 414, 395, 112]","[3.24, 27.94, 27.75, 0.54]",BRA,metric,"I ate a lunch that consisted of 135 grams of rice, 560 grams of string beans, 112 grams of sun-dried meat that was fried, and 32 grams of tapioca flour, and 507 grams of bottled water."
"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread', 'Fruit leather and fruit snacks candy', 'Water, bottled, unsweetened']","[50.65, 21.92]","[18.51, 0.74]","[406.56, 94.9]","[12.89, 0.14]",USA,metric,"For lunch, I'm having a peanut butter and jelly sandwich made with regular peanut butter and jelly on white bread (112.0g), along with some fruit leather and fruit snacks (26.0g), and 507 grams of bottled water."
"['Cereal or granola bar (Quaker Chewy Granola Bar)', 'Cake or cupcake, oatmeal', 'Water, bottled, unsweetened']","[16.85, 31.61]","[3.98, 6.33]","[100.32, 185.0]","[1.36, 1.62]",USA,natural,"For a snack, I'm having a Quaker Chewy Granola Bar and a regular oatmeal cupcake, and 507 grams of bottled water."
"['Soft drink, cola, decaffeinated, diet', 'Potato, french fries, fast food', 'Big Mac (McDonalds)', 'Water, bottled, unsweetened']","[0.86, 74.59, 44.14]","[0, 26.51, 28.9]","[7.2, 561.6, 535.05]","[0.86, 6.17, 24.48]",USA,metric,"For breakfast, I'm having a 205g Big Mac from McDonald's, a serving of 180g fast food French fries, and a 720g diet decaffeinated cola, and 507 grams of bottled water."
"['Cheeseburger, from fast food, 1 medium patty', 'Ketchup', 'Water, bottled, unsweetened']","[30.72, 4.66]","[26.75, 0.02]","[490.05, 17.17]","[29.57, 0.18]",USA,natural,"For lunch, I'm having a cheeseburger with a medium patty from a fast food place, and I'm adding a tablespoon of ketchup, and 507 grams of bottled water."
"['Oatmeal with applesauce and bananas, baby food, jarred', 'Bananas and pineapple, baby food, strained', 'Water, bottled, unsweetened']","[17.88, 20.11]","[1.01, 0.0]","[85.88, 73.45]","[1.01, 0.23]",USA,natural,"I’ll be eating a jar of oatmeal with applesauce and bananas baby food and a jar of strained bananas and pineapple for dinner, and 507 grams of bottled water."
"['Chapati', 'Green Gram (Hesaru bele) Bhaji', 'Green Gram Dhal Sambar', 'Rice', 'Water, bottled, unsweetened']","[29.5, 6.3, 4.4, 14.0]","[7.1000000000000005, 7.0, 0.9999999999999999, 0.2]","[199, 99, 61, 63]","[4.0, 2.7, 1.5, 1.2]",IND,metric,"I'm enjoying 42.1g of chapati with 48.5g of green gram bhaji, 25.3g of dhal sambar, and 58g of rice for lunch, and 507 grams of bottled water."
"['Beer', 'Chicory coffee ingredient', 'Dried fish,  STATE=Fine powder,  PROCESS=Boiling', 'Dried vegetables, SOURCE-COMMODITIES = Baobab leaves, PROCESS = Boiling', 'Lentils (dry), PROCESS = Boiling, PRODUCTION-METHOD = Wild or gathered or hunted', 'Peanuts, PROCESS = Broiling/grilling, PART-CONSUMED-ANALYSED = With husks', 'Salt,  PROCESS=Boiling', 'Salt, INGREDIENT = Potassium, PHYSICAL-STATE = Liquid', 'Sorghum flour, PROCESS = Drying (dehydration), PROCESS = Boiling, QUALITATIVE-INFO = Red, PART-CONSUMED-ANALYSED = With husks', 'Stock cubes or granulate (bouillon base)', 'Water, bottled, unsweetened']","[8.9, 0.4, 0.0, 1.0, 27.5, 12.8, 0.0, 0.0, 78.3, 0.2]","[0.0, 0.4, 0.6, 0.5, 0.6, 29.7, 0.0, 0.0, 3.5, 0.0]","[99, 7, 11, 15, 159, 349, 0, 0, 356, 2]","[0.7, 43.7, 1.3, 1.8, 12.3, 14.1, 0.0, 0.0, 11.9, 0.2]",BFA,metric,"For a snack, I had 241g of beer alongside 2g of chicory coffee ingredient, 3g of dried fish, 11g of dried vegetables, 51g of lentils, 85g of peanuts, 3g of salt, 17g of liquid potassium, 105g of sorghum flour, and 1g of stock cubes, and 507 grams of bottled water."
"['Potato chips, lightly salted', 'Cookie, chocolate chip, made from home recipe or purchased at a bakery', 'Water, bottled, unsweetened']","[13.36, 17.81]","[8.83, 8.44]","[139.75, 146.7]","[1.68, 1.74]",USA,metric,"For a snack, I have 25 grams of lightly salted potato chips and 30 grams of chocolate chip cookies, and 507 grams of bottled water."
"['Broccoli, fresh, cooked, no added fat', 'Chicken breast, baked, broiled, or roasted, skin eaten, from raw', 'Water, bottled, unsweetened']","[10.7, 0.0]","[0.59, 9.68]","[54.25, 211.2]","[4.54, 28.88]",USA,natural,"For dinner, I'm having a cup of cooked fresh broccoli and a small baked chicken breast, and 507 grams of bottled water."
"['Chicken with noodles and cheese sauce, diet frozen meal', 'Water, bottled, unsweetened']",[30.55],[7.49],[298.68],[26.38],USA,natural,"Lunch consists of a diet frozen meal that’s 9.25 oz, featuring chicken, noodles, and cheese sauce, and 507 grams of bottled water."
"['Cheese, American', 'Bread, white', 'Water, bottled, unsweetened']","[1.86, 13.78]","[4.84, 1.01]","[64.47, 75.6]","[3.38, 2.64]",USA,metric,"My lunch consists of 21 grams of American cheese and 28 grams of white bread, and 507 grams of bottled water."
"['Coffee creamer, liquid', 'Coffee, brewed', 'Water, bottled, unsweetened']","[3.41, 0]","[2.99, 0.1]","[40.8, 4.8]","[0.3, 0.58]",USA,metric,"I prepared a snack with brewed coffee weighing 480 grams and added 30 grams of liquid coffee creamer, and 507 grams of bottled water."
"['Roll, sweet, cinnamon bun, frosted', 'Sports drink (Powerade)', 'Water, bottled, unsweetened']","[43.74, 48.61]","[23.95, 0.31]","[406.8, 198.4]","[4.0, 0.0]",USA,natural,"I’m enjoying a medium sweet roll with frosting and a bottle of Powerade this morning, and 507 grams of bottled water."
"['Potato, french fries, fast food', 'Double cheeseburger (McDonalds)', 'Water, bottled, unsweetened']","[45.58, 29.65]","[16.2, 26.7]","[343.2, 465.3]","[3.77, 26.8]",USA,metric,"I had a McDonald's double cheeseburger, which is 165 grams, and 110 grams of french fries for lunch, and 507 grams of bottled water."
"['Biscuit with inclusions, filling or coating, PROCESS = Chocolate coating, INGREDIENT = Wheat flour, INGREDIENT = Baked milk and similar, INGREDIENT = Hen eggs, INGREDIENT = Butter, INGREDIENT = Sucrose (common sugar)', 'Cereal bars plain', 'Flavoured milks, INGREDIENT = Cocoa powder', 'Water, bottled, unsweetened']","[24.89, 16.58, 20.68]","[5.81, 3.75, 6.78]","[160.4, 100.7, 166]","[2.36, 1.68, 6.34]",ARG,metric,"For my snack, I have a 38g biscuit filled with chocolate, a 23g cereal bar, and I'm drinking 200g of cocoa-flavored milk, and 507 grams of bottled water."
"['Dried vegetables, SOURCE = Common bean (as plant), SOURCE-COMMODITIES = Leafy vegetables, PROCESS = Boiling', 'Dried vegetables, SOURCE-COMMODITIES = Baobab leaves, PROCESS = Boiling', 'Salt, INGREDIENT = Potassium, PHYSICAL-STATE = Liquid', 'Salt, iodised,  PROCESS=Boiling', 'Sorghum flour, PROCESS = Drying (dehydration), PROCESS = Boiling, QUALITATIVE-INFO = White, PART-CONSUMED-ANALYSED = With husks', 'Water, bottled, unsweetened']","[6.1, 0.5, 0.0, 0.0, 39.5]","[0.3, 0.2, 0.0, 0.0, 1.7]","[47, 8, 0, 0, 180]","[4.8, 1.0, 0.0, 0.0, 6.0]",BFA,metric,"For lunch, I had 17g of boiled common bean leaves, 6g of boiled baobab leaves, 7g of liquid potassium salt, 2g of iodized salt, and 53g of dried sorghum flour, and 507 grams of bottled water."
"['Soft drink, cola, diet', 'Pizza with extra meat, medium crust', 'Water, bottled, unsweetened']","[1.04, 26.89]","[0.11, 12.52]","[7.2, 276.74]","[0.4, 13.99]",USA,natural,"I enjoyed a can of diet cola along with a small piece of medium crust pizza with extra meat for breakfast, and 507 grams of bottled water."
"['Cheese flavored corn snacks (Cheetos)', 'Soft drink, fruit flavored, caffeine containing, diet', 'Water, bottled, unsweetened']","[14.99, 0.0]","[10.08, 0.0]","[156.8, 0.0]","[1.64, 0.36]",USA,natural,"I'm enjoying a snack of Cheetos from a small bag and a 12 oz can of diet fruit soda, and 507 grams of bottled water."
"['Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar)', 'Water, bottled, unsweetened']",[21.4],[8],[170.45],[3.2],USA,metric,"I have a 35g Nature Valley granola bar for a little snack, and 507 grams of bottled water."
"['Orange juice, 100%, canned, bottled or in a carton', 'Pork sausage', 'Egg omelet or scrambled egg, made with butter', 'Water, bottled, unsweetened']","[14.31, 0.28, 0.37]","[0.15, 5.45, 7.78]","[60.76, 65.0, 99.0]","[0.84, 3.71, 6.47]",USA,natural,"I’ve got a school carton of orange juice, a link of pork sausage, and a buttered scrambled egg for breakfast, and 507 grams of bottled water."
"['Cheese sandwich, Cheddar cheese, on white bread, no spread', 'Soup, mostly noodles', 'Sports drink (Powerade)', 'Energy drink (Monster)', 'Egg, whole, boiled or poached', 'Water, bottled, unsweetened']","[30.55, 45.3, 77.77, 55.95, 0.36]","[16.43, 13.24, 0.5, 0.0, 4.76]","[333.54, 330.98, 317.44, 233.12, 71.5]","[15.44, 7.66, 0.0, 2.33, 6.28]",USA,natural,"For lunch, I'm having a boiled egg and a cheese sandwich made with cheddar cheese on white bread. I'm also having a package of noodle soup, a bottle of Powerade sports drink, and a can of Monster energy drink, and 507 grams of bottled water."
"['Apple with skin, raw', 'Water, bottled, unsweetened']",[20.1],[0.3],[92],[0.4],PAK,metric,"I'm having a raw apple with skin that weighs 148.8 grams for a snack, and 507 grams of bottled water."
"['Milk, whole', 'Turkey, baby food, strained', 'Water, bottled, unsweetened']","[11.39, 0.99]","[7.81, 4.4]","[146.4, 78.81]","[8, 8.16]",USA,metric,"I enjoyed 244 grams of whole milk and 71 grams of turkey baby food for breakfast, and 507 grams of bottled water."
"['Cereals ready-to-eat, ""Chocapic"" - Nestlé', 'Cocoa, powder, with sugar, ""Nesquik""- Nestle\'', 'Milk, cow, whole', 'Water, bottled, unsweetened']","[24.6, 11.2, 12.25]","[1.44, 0.42, 9.0]","[116, 48, 160]","[2.52, 0.56, 8.25]",ITA,metric,"I had a snack that included 30g of Chocapic, 14g of Nesquik cocoa powder, and 250g of whole milk, and 507 grams of bottled water."
"['Fruit, NFS', 'Water, bottled, unsweetened']",[29.53],[0.43],[114.7],[1.41],USA,metric,"Dinner tonight is 185 grams of fruit, and 507 grams of bottled water."
"['Sports drink, low calorie (Gatorade G2)', 'Water, bottled, unsweetened']",[18.62],[0.1],[76.8],[0.48],USA,natural,"For my snack, I’m having a 32 fl oz bottle of Gatorade G2, and 507 grams of bottled water."
"['Trail mix with nuts and fruit', 'Water, bottled, unsweetened']",[71.57],[37.44],[632.8],[15.26],USA,natural,"For a snack, I’m enjoying a cup of trail mix that has nuts and fruit in it, and 507 grams of bottled water."
"['Barley, fat added', 'Water, bottled, unsweetened']",[46.29],[4.62],[236.3],[3.74],USA,natural,"For breakfast, it's just a cup of cooked barley with a bit of fat, and 507 grams of bottled water."
"['Soft drink, cola', 'Gordita, sope, or chalupa with meat and sour cream', 'Taco or tostada with meat and sour cream', 'Water, bottled, unsweetened']","[38.54, 33.55, 23.05]","[0.93, 21.42, 20.46]","[156.24, 377.91, 323.19]","[0.0, 13.77, 12.53]",USA,natural,"For lunch, I'm having a can of cola with a Taco Bell chalupa with meat and sour cream, and a medium taco with meat and sour cream, and 507 grams of bottled water."
"['Apple, raw', 'Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)', 'Water, bottled, unsweetened']","[27.62, 27.05]","[0.34, 8.32]","[104, 197.82]","[0.52, 4.24]",USA,metric,"For my snack, I have a 200g apple and a 42g Nature Valley Crunchy Granola Bar, and 507 grams of bottled water."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Doughnut, yeast type', 'Water, bottled, unsweetened']","[13.97, 28.76]","[0.15, 13.62]","[58.28, 252.6]","[0.84, 3.68]",USA,metric,"For breakfast, I'm having 124 grams of orange juice with added calcium and a yeast doughnut that weighs 60 grams, and 507 grams of bottled water."
"['Biryani, potato', 'Curd, sweetened, whole milk', 'Water, bottled, unsweetened']","[12.6, 2.8]","[6.199999999999999, 1.3]","[111, 24]","[1.0999999999999999, 0.8]",PAK,metric,"Dinner tonight includes 70.6 grams of biryani made with potatoes and 25 grams of sweetened whole milk curd, and 507 grams of bottled water."
"['CHICKEN BLOOD, BROILED', 'PORK CURED SAUSAGE (PEPPERY), COOKED', 'RICE, WHITE, BOILED/STEAMED', 'Water, bottled, unsweetened']","[0.13, 5.91, 22.27]","[0.03, 23.79, 0.15]","[16, 280, 100]","[3.63, 10.6, 1.57]",PHL,metric,"For dinner, I ate 15 grams of chicken blood that was broiled, along with 30 grams of cooked peppery sausage and 75 grams of steamed white rice, and 507 grams of bottled water."
"['Pig fresh meat, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Half fat or medium fat', 'Potato puree from flakes or powder', 'Wheat bread and rolls, white (refined flour)', 'Wine, red', 'Water, bottled, unsweetened']","[0, 16.13, 39.9, 3.92]","[26.88, 4.8, 0.49, 0]","[504, 116, 187.6, 127.5]","[61.44, 2.13, 5.88, 0.1]",ARG,metric,"For dinner, I'm having 300g of raw medium fat pig meat, 100g of potato puree made from flakes, 70g of white wheat bread, and 150g of red wine, and 507 grams of bottled water."
"['Pizza with meat and vegetables, from frozen, thin crust', 'Water, bottled, unsweetened']",[54.3],[31.17],[596.16],[24.36],USA,natural,"I'm going to eat a personal size frozen pizza with meat and veggies for dinner, and 507 grams of bottled water."
"['Ketchup', 'Corn dog, frankfurter or hot dog with cornbread coating', 'Soft drink, fruit flavored, caffeine free', 'Water, bottled, unsweetened']","[4.66, 23.72, 37.72]","[0.02, 10.58, 0.07]","[17.17, 220, 148.8]","[0.18, 7.54, 0.19]",USA,metric,"I have a snack of 17 grams of ketchup, an 88-gram corn dog, and a 372-gram fruit-flavored soft drink, and 507 grams of bottled water."
"['Mixed vegetables, garden vegetables, baby food, junior', 'Water, bottled, unsweetened']",[13.94],[0.68],[61.2],[2.38],USA,metric,"I’ve got 170 grams of junior baby food made from mixed garden vegetables for dinner, and 507 grams of bottled water."
"['Noodles with vegetables in tomato-based sauce, diet frozen meal', 'Yogurt, low fat milk, fruit', 'Sunflower seeds, plain, salted', 'Water, bottled, unsweetened']","[30.79, 16.34, 34.24]","[4.43, 1.55, 70.86]","[193.12, 100.57, 828.0]","[9.54, 5.27, 27.5]",USA,natural,"For lunch, I'm having a 10 oz diet frozen meal of noodles with vegetables in a tomato-based sauce, along with a 4 oz container of low-fat yogurt with fruit, and a cup of plain salted sunflower seeds, and 507 grams of bottled water."
"['Chapati', 'Chicken Gravy', 'Egg, whole, cooked, hard-boiled', 'Rice', 'Water, bottled, unsweetened']","[18.5, 8.5, 0.5, 14.2]","[4.4, 24.0, 4.4, 0.2]","[124, 345, 64, 64]","[2.5, 24.3, 5.2, 1.2]",IND,metric,"For dinner, I’m having 26.4g of chapati, 153.6g of chicken gravy, a 41g hard-boiled egg, and 58.9g of rice, and 507 grams of bottled water."
