description,carb,fat,energy,protein,country,amount_type,queries
"['Peaches, baby food, strained', 'Beans, green string, baby food, strained']","[10.28, 4.47]","[0.23, 0.12]","[46.15, 19.17]","[0.67, 0.85]",USA,natural,I'm eating a Beech-Nut Stage 1 strained peach baby food and a Beech-Nut Stage 1 strained green string bean baby food for dinner.
"['Ham, prepackaged or deli, luncheon meat', 'Cheese, Mozzarella, part skim']","[0.08, 1.26]","[1.04, 5.78]","[29.68, 84.48]","[4.68, 6.72]",USA,natural,I’m enjoying a slice of luncheon meat ham along with a stick of part-skim mozzarella for lunch.
"['Chocolate milk, ready to drink, reduced sugar, NS as to milk', 'Frankfurter or hot dog sandwich, meat and poultry, plain, on white bun', 'Ketchup']","[19.05, 25.56, 4.66]","[2.58, 16.27, 0.02]","[141.36, 291.72, 17.17]","[8.51, 10.23, 0.18]",USA,natural,"For lunch, I'm having a cup of reduced sugar chocolate milk, a frankfurter on a plain white bun, and a tablespoon of ketchup."
"['Cheese, Mozzarella, part skim', 'Apple, raw']","[1.26, 33.42]","[5.78, 0.41]","[84.48, 125.84]","[6.72, 0.63]",USA,natural,I'm enjoying a stick of part-skim mozzarella cheese along with a large apple as a snack.
"['Water, tap', 'Tea, hot, leaf, black']","[0.0, 1.08]","[0.0, 0.0]","[0.0, 3.6]","[0.0, 0.0]",USA,natural,"For a snack, I have a cup of tap water and a small cup of hot black tea."
"['Potato chips, plain', 'Whopper with cheese (Burger King)']","[15.07, 51.42]","[9.51, 45.82]","[148.96, 777.2]","[1.79, 39.7]",USA,natural,I'm eating a small serving of plain potato chips alongside a Whopper with cheese for my lunch.
"['Soft drink, fruit flavored, caffeine containing', 'Soft drink, pepper type']","[47.73, 38.54]","[0.0, 0.93]","[182.28, 156.24]","[0.0, 0.0]",USA,natural,I'm starting my day with a 12 fl oz can of fruit-flavored soft drink along with another 12 fl oz can of pepper soft drink.
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Chicken fillet biscuit, from fast food']","[13.97, 40.94]","[0.15, 29.59]","[58.28, 496.0]","[0.84, 16.71]",USA,natural,"This morning, I’m enjoying a chicken fillet biscuit and a small container of 100% orange juice with added calcium."
"['Water, bottled, unsweetened', 'Tilapia, steamed or poached']","[0.0, 0.0]","[0.0, 3.64]","[0.0, 205.7]","[0.0, 42.92]",USA,natural,I'm enjoying a medium fillet of steamed tilapia along with a bottle of unsweetened water for my lunch.
"['Peach, raw', 'Plum, raw']","[15.15, 8.56]","[0.4, 0.21]","[63.0, 34.5]","[1.36, 0.52]",USA,natural,I have a peach and a plum to eat for lunch.
"['Water, bottled, unsweetened', 'Caramel, flavor other than chocolate', 'Popcorn, caramel coated, with nuts']","[0.0, 17.71, 33.63]","[0.0, 1.86, 3.25]","[0.0, 87.86, 166.74]","[0.0, 1.06, 2.67]",USA,natural,"For my snack, I'm enjoying a bottle of water, a cubic inch of caramel, and a cup of caramel popcorn that has some nuts in it."
"['Soft drink, cola, decaffeinated', 'Bread, French or Vienna']","[39.36, 78.86]","[0.0, 3.68]","[152.52, 413.44]","[0.0, 16.34]",USA,natural,My breakfast consists of a mini baguette and a can of decaffeinated cola.
"['Chicken dinner, NFS, frozen meal']",[41.34],[13.35],[393.12],[27.3],USA,natural,I'm having an 11-ounce chicken dinner from the freezer for dinner.
"['Potato chips, cheese flavored']",[31.87],[17.7],[277.59],[3.71],USA,natural,I'm snacking on a medium single serving bag of cheese-flavored potato chips.
"['Carbonated water, unsweetened']",[0.0],[0.0],[0.0],[0.0],USA,natural,I'm having a can of unsweetened carbonated water as a snack.
"['Ice cream soda, flavors other than chocolate', 'Fruit juice drink, with high vitamin C', 'Gumdrops']","[26.92, 23.72, 59.34]","[5.57, 0.23, 0.0]","[163.2, 96.14, 237.6]","[1.77, 0.27, 0.0]",USA,natural,"For a snack, I have a cup of ice cream soda with a box of fruit juice that's high in vitamin C, plus a box of gumdrops."
"['Bread, wheat or cracked wheat, toasted', 'Sugar substitute, aspartame, powder', 'Coffee, brewed, decaffeinated', 'Oatmeal, reduced sugar, flavored, no added fat']","[13.06, 0.89, 0.0, 28.25]","[1.25, 0.0, 0.0, 2.18]","[75.25, 3.65, 0.0, 144.5]","[2.93, 0.02, 0.24, 4.0]",USA,natural,"For breakfast, I had a medium slice of toasted wheat bread with an individual packet of aspartame. I also enjoyed a cup of decaffeinated brewed coffee and an ounce of reduced sugar flavored oatmeal."
"['Water, bottled, unsweetened', 'Ice cream, vanilla']","[0.0, 84.96]","[0.0, 39.6]","[0.0, 745.2]","[0.0, 12.6]",USA,natural,"For a snack, I have a bottle of unsweetened water and a large cup of vanilla ice cream."
"['Banana, raw', 'Potato chips, barbecue flavored', 'Water, tap']","[28.78, 13.98, 0.0]","[0.42, 7.76, 0.0]","[112.14, 121.75, 0.0]","[1.37, 1.63, 0.0]",USA,natural,"I'm snacking on one raw banana, a cup of barbecue potato chips, and one cup of tap water."
"['Coffee, brewed', 'Bread, Italian, Grecian, Armenian', 'Almond butter']","[0.0, 14.91, 3.01]","[0.07, 0.85, 8.88]","[3.6, 80.29, 98.24]","[0.43, 2.94, 3.35]",USA,natural,"For breakfast, I'm having a small brewed coffee with a medium slice of Italian bread and a tablespoon of almond butter."
"['Empanada, Mexican turnover, filled with meat and vegetables']",[69.24],[40.78],[743.7],[25.11],USA,natural,"I ate one empanada for lunch, and it was packed with meat and vegetables."
"['Rice, brown, cooked, fat added, made with oil']",[48.73],[6.41],[274.4],[5.21],USA,natural,I had a cup of cooked brown rice with some oil for lunch.
"['Tuna salad sandwich, on bread', 'Water, bottled, unsweetened']","[32.9, 0.0]","[21.17, 0.0]","[396.0, 0.0]","[17.8, 0.0]",USA,natural,"For lunch, I'm having a regular tuna salad sandwich on bread and a bottle of unsweetened water."
"['Chicken drumstick, fried, coated, skin / coating not eaten, from raw']",[0.0],[3.77],[84.5],[11.8],USA,natural,"For dinner, I’m having a medium fried chicken drumstick and I’m skipping the skin and coating."
"['Coffee, Cafe Mocha']",[38.06],[5.47],[238.08],[9.52],USA,natural,I have a small Cafe Mocha as my breakfast drink.
"['Cheese, Muenster']",[0.24],[6.31],[77.28],[4.92],USA,natural,"For lunch, I'm having a slice of Muenster cheese."
['Energy Drink'],[25.37],[0.0],[106.64],[1.14],USA,natural,"For my snack, I chose a cup of energy drink."
"['Water, tap', 'Soft drink, cola']","[0.0, 38.54]","[0.0, 0.93]","[0.0, 156.24]","[0.0, 0.0]",USA,natural,"For a snack, I have a cup of tap water and a can of cola."
"['Milk, reduced fat (2%)']",[11.98],[4.64],[122.0],[8.17],USA,natural,Just a cup of reduced fat milk for my snack.
"['Soft drink, root beer', 'Peanut butter sandwich, with regular peanut butter, on wheat bread']","[39.43, 34.39]","[0.0, 18.74]","[152.52, 349.6]","[0.0, 14.04]",USA,natural,"For lunch, I have a peanut butter sandwich on wheat bread and a can of root beer to drink."
"['Soft drink, cola', 'Potato chips, plain']","[64.23, 15.07]","[1.55, 9.51]","[260.4, 148.96]","[0.0, 1.79]",USA,natural,I’ve got a bottle of cola and a small bag of plain potato chips for my snack.
"['Chicken or turkey parmigiana', 'Roll, garlic']","[13.13, 14.55]","[13.18, 1.8]","[276.66, 86.52]","[25.84, 3.04]",USA,natural,"For dinner, I'm having half a chicken parmigiana breast with sauce and cheese, along with a small garlic roll."
"['Potato chips, plain', 'Apple, raw']","[15.07, 27.62]","[9.51, 0.34]","[148.96, 104.0]","[1.79, 0.52]",USA,natural,I picked up a medium raw apple and a small bag of plain potato chips for my snack.
"['Soft drink, fruit flavored, caffeine containing', 'Soft taco with meat']","[47.73, 26.7]","[0.0, 14.16]","[182.28, 290.82]","[0.0, 14.0]",USA,natural,"Tonight, my meal includes a medium soft taco with meat and a 12 fl oz can of fruit-flavored soft drink."
"['Water, bottled, unsweetened', 'Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread']","[0.0, 41.91]","[0.0, 18.76]","[0.0, 379.68]","[0.0, 14.04]",USA,natural,"Lunch today is a sandwich made with whole wheat bread, peanut butter, and reduced sugar jelly, along with a 16.9 fl oz bottle of water."
"['Teriyaki chicken with rice and vegetable, diet frozen meal']",[70.08],[4.87],[393.12],[17.63],USA,natural,I’m eating an 11 oz diet frozen meal of teriyaki chicken with rice and vegetables for lunch.
