description,carb,fat,energy,protein,country,amount_type,queries
"['Cheese, American', 'Potato, baked, peel eaten, with meat']","[1.86, 53.61]","[4.84, 26.3]","[64.47, 500.85]","[3.38, 14.77]",USA,metric,I'm eating a baked potato that weighs 315 grams and topping it with 21 grams of American cheese for lunch.
"['Frankfurter or hot dog sandwich, NFS, plain, on white bun']",[24.29],[18.56],[314.16],[11.41],USA,natural,My lunch today was a frankfurter served on a plain white bun.
"['BEEF, FRYING', 'CAJUINA, NOT DETERMINED', 'CHICKEN EGG, FRYING', 'RICE COUSCOUS, NOT DETERMINED']","[0.0, 18.56, 0.6, 34.11]","[13.19, 0.06, 9.26, 0.92]","[237, 74, 116, 151]","[29.59, 0.14, 7.77, 2.92]",BRA,metric,"For breakfast, I had a mix of 90g of fried beef, 200g of cajuina, a 50g fried chicken egg, and 135g of rice couscous."
"['Orange juice, 100%, canned, bottled or in a carton', 'Potato, hash brown, from fast food', 'Egg, cheese, and ham on English muffin']","[57.24, 15.88, 27.3]","[0.6, 9.37, 12.17]","[243.04, 149.6, 287.28]","[3.37, 1.42, 17.19]",USA,metric,"This morning, I had 496 grams of orange juice, along with a hash brown that weighs 55 grams and a 126-gram English muffin sandwich with egg, cheese, and ham."
"['Potato chips, sour cream and onion flavored']",[15.66],[8.7],[136.36],[1.82],USA,metric,I’m eating 28 grams of sour cream and onion potato chips for lunch.
"['Pretzels, hard, plain, unsalted', 'Orange, raw']","[31.68, 18.1]","[1.4, 0.18]","[152.4, 72.38]","[3.64, 1.45]",USA,metric,"For my snack, I have 40 grams of plain hard pretzels and a 154-gram orange."
"['Bread, white flour, commercial', 'Malt beverage, non-alcoholic', 'Peanut, butter, unknown type']","[26.16, 29.16, 7.54]","[1.86, 0.43, 20.75]","[144, 131, 257]","[4.96, 0.76, 8.97]",KNA,metric,"For dinner, I'm having 56 grams of white flour bread with 40.4 grams of peanut butter and 360 grams of a non-alcoholic malt beverage."
"['Doughnut, cake type, plain']",[28.24],[14.96],[260.4],[3.19],USA,natural,"For breakfast, I’m having a plain cake doughnut."
"['Milk, NFS', 'Burrito with meat and beans']","[11.88, 46.84]","[4.86, 32.14]","[124.44, 600.48]","[8.15, 30.75]",USA,natural,"For lunch, I'm having a medium burrito filled with meat and beans, along with a cup of milk."
"['Muffin, chocolate', 'Apple juice, 100%']","[65.82, 14.01]","[24.05, 0.16]","[508.3, 57.04]","[8.31, 0.12]",USA,metric,"For breakfast, I'm having a 130g chocolate muffin and 124g of 100% apple juice."
